Year,Month,Fieldwork,Published,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,,,,,,,Party leader rating,,,,,,,,,,,
,Jun,26-27,29,MORI,NoW,35.0,,35.0,,19.0,,0.0,9.0,Phone,,,,,,,,,,,,,,,,,,
,Jul,4-6,8,Populus,TT,34.0,1.0,36.0,-1.0,21.0,1.0,-2.0,2.0,,,,,,,,,,,,,,,,,,,
,Jul,7-8,22,MORI,Sun,35.0,0.0,38.0,3.0,19.0,0.0,-3.0,-3.0,,,,,,,,,,,,,,,,,,,
,Jul,17-22,4,MORI,,38.0,6.0,35.0,-6.0,21.0,2.0,3.0,12.0,,,,,,,,,,,,,,,,,,,
,Jul,18-20,22,ICM,GU,34.0,0.0,36.0,-2.0,22.0,1.0,-2.0,2.0,,,,,,,,,,,,,,,,,,,
,Jul,22-24,25,YouGov,DT,37.0,0.0,34.0,-1.0,22.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
,Aug,1-3,5,Populus,TT,32.0,-2.0,34.0,-2.0,25.0,4.0,-2.0,0.0,,,,,,,,,,,,,,,,,,,
,Aug,7-8,10,YouGov,MoS,38.0,1.0,34.0,0.0,21.0,-1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,
,Aug,15-17,19,ICM,GU,32.0,-2.0,37.0,1.0,22.0,0.0,-5.0,-3.0,,,,,,,,,,,,,,,,,,,
,Aug,26-28,29,YouGov,DT,37.0,-1.0,35.0,1.0,20.0,-1.0,2.0,-2.0,,,,,,,,,,,,,,,,,,,
,Aug,28-2,10,MORI,FT,34.0,-4.0,36.0,1.0,24.0,3.0,-2.0,-5.0,,,,,,,,,,,,,,,,,,,
,Sep,4-5,7,YouGov,MoS,37.0,0.0,36.0,1.0,18.0,-2.0,1.0,-1.0,,,,,,,,,,,,,,,,,,,
,Sep,5-6,8,Populus,TT,34.0,2.0,39.0,5.0,19.0,-6.0,-5.0,-3.0,,,,,,,,,,4.25,,,5.14,,,5.04,,,
,Sep,11-16,22,MORI,FT,31.0,-3.0,40.0,4.0,21.0,-3.0,-9.0,-7.0,,,,,,,,,,,,,,,,,,,
,Sep,19-21,23,ICM,GU,30.0,-2.0,35.0,-2.0,28.0,6.0,-5.0,0.0,,,,,,,,,,,,,,,,,,,
,Sep,23-25,27,YouGov,DT,32.0,-5.0,31.0,-5.0,30.0,12.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
,Sep,24-26,28,ICM,NoW,31.0,1.0,31.0,-4.0,31.0,3.0,0.0,5.0,,,,,,,,,,,,,,,,,,,
,Sep,25-26,28,YouGov,ST,33.0,1.0,30.0,-1.0,30.0,0.0,3.0,2.0,,,,,,,,,,,,,,,,,,,
,Sep,26-28,1,NOP,Ind,29.0,,38.0,,27.0,,-9.0,,,,,,,,,,,,,,,,,,,,
,Sep,30-2,6,YouGov,DT/Sky,33.0,0.0,33.0,-2.0,28.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
,Oct,2-3,5,YouGov,MoS,33.0,0.0,34.0,1.0,26.0,-2.0,-1.0,-2.0,,,,,,,,22.0,65.0,-43.0,40.0,58.0,-18.0,65.0,21.0,44.0,Do you think (name) is doing well or badly as (position)?,,
,Oct,3-5,6,Populus,TT,31.0,-3.0,36.0,-3.0,26.0,7.0,-5.0,0.0,,,,,,,,,,4.17,,,4.9,,,5.18,,,
,Oct,10-11,12,YouGov,MoS,38.0,5.0,33.0,-1.0,22.0,-4.0,5.0,5.0,,,,,,,,31.0,56.0,-25.0,37.0,60.0,-23.0,61.0,19.0,42.0,Do you think (name) is doing well or badly as (position)?,,
,Oct,16-18,19,YouGov,MoS,34.0,-4.0,34.0,1.0,25.0,3.0,0.0,-5.0,,,,,,,,,,,,,,,,,,,
,Oct,17-19,21,ICM,GU,33.0,2.0,38.0,7.0,21.0,-10.0,-5.0,-5.0,,,,,,,,,,,,,,,,,,,
,Oct,23-28,1,MORI,FT,35.0,4.0,38.0,-2.0,21.0,0.0,-3.0,6.0,,,,,,,,,,,,,,,,,,,
,Oct,30-31,1,YouGov,DT,34.0,0.0,36.0,2.0,23.0,-2.0,-2.0,-2.0,,,,,,,,,,,,,,,,,,,
,Oct,31-1,4,MORI,Ind,32.0,-3.0,38.0,3.0,25.0,6.0,-6.0,-6.0,Phone,,,,,,,,,,,,,,,,,,
,Nov,6,9,ICM,NoW,31.0,-2.0,39.0,1.0,22.0,1.0,-8.0,-3.0,,,,,,,,,,,,,,,,,,,
,Nov,7-8,9,YouGov,MoS,34.0,0.0,36.0,0.0,24.0,1.0,-2.0,0.0,,,,,,,,,,,,,,,,,,,
,Nov,7-9,10,Populus,TT,31.0,0.0,36.0,0.0,25.0,-1.0,-5.0,0.0,,,,,,,,,,,,,,,,,,,
,Nov,13-14,16,YouGov,ST,36.0,2.0,39.0,3.0,20.0,-4.0,-3.0,-1.0,,,,,,,,,,,,,,,,,,,
,Nov,14-16,19,ICM,GU,33.0,2.0,38.0,-1.0,21.0,1.0,-5.0,3.0,,,,,,,,,,,,,,,,,,,
,Nov,20-25,1,MORI,,35.0,0.0,36.0,-2.0,22.0,1.0,-1.0,2.0,,,,,,,,,,,,,,,,,,,
,Nov,25-27,28,YouGov,DT,38.0,2.0,36.0,-3.0,19.0,-1.0,2.0,5.0,,,,,,,,,,,,,,,,,,,
,Dec,5-6,7,YouGov,MoS,36.0,-2.0,36.0,0.0,23.0,4.0,0.0,-2.0,,,,,,,,,,,,,,,,,,,
,Dec,5-7,9,Populus,TT,33.0,2.0,36.0,0.0,22.0,-3.0,-3.0,2.0,,,,,,,,,,4.73,,,5.01,,,5.00,,,
,Dec,11-17,20,MORI,FT,31.0,-4.0,40.0,4.0,22.0,0.0,-9.0,-8.0,,,,,,,,,,,,,,,,,,,
,Dec,12-14,17,ICM,GU,33.0,0.0,38.0,0.0,22.0,1.0,-5.0,0.0,,,,,,,,,,,,,,,,,,,
,Dec,16-17,20,YouGov,DT,39.0,3.0,38.0,2.0,18.0,-5.0,1.0,1.0,,33.1,,37.0,,22.6,,,,,,,,,,,,,
2004,Jan,2-4,6,Populus,TT,35.0,2.0,40.0,4.0,18.0,-4.0,-5.0,-2.0,,,,,,,,,,,,,,,,,,,
,Jan,16-18,20,ICM,GU,34.0,1.0,39.0,1.0,20.0,-2.0,-5.0,0.0,,,,,,,,,,,,,,,,,,,
,Jan,15-20,21,MORI,,35.0,4.0,37.0,-3.0,21.0,-1.0,-2.0,7.0,,,,,,,,,,,,,,,,,,,
,Jan,20-22,23,YouGov,DT,40.0,1.0,35.0,-3.0,19.0,1.0,5.0,4.0,,,,,,,,,,,,,,,,,,,
,Jan,,31,YouGov,DT,39.0,-1.0,36.0,1.0,19.0,0.0,3.0,-2.0,,,,,,,,,,,,,,,,,,,
,Feb,4-5,7,NOP,Ind,36.0,,35.0,,24.0,,1.0,,,,,,,,,,,,,,,,,,,,
,Feb,4-5,8,ICM,NoW,34.0,0.0,34.0,-5.0,24.0,4.0,0.0,5.0,,,,,,,,,,,,,,,,,,,
,Feb,6-8,10,Populus,TT,31.0,-4.0,36.0,-4.0,25.0,7.0,-5.0,0.0,,,,,,,,,,4.40,,,4.92,,,4.68,,,
,Feb,12-16,23,MORI,FT,35.0,0.0,36.0,-1.0,21.0,0.0,-1.0,1.0,,,,,,,,,,,,,,,,,,,
,Feb,16-22,24,ICM,GU,34.0,0.0,36.0,2.0,21.0,-3.0,-2.0,-2.0,,,,,,,,,,,,,,,,,,,
,Feb,24-26,28,YouGov,DT,39.0,0.0,34.0,-2.0,21.0,2.0,5.0,2.0,,,,,,,,,,,,,,,,,,,
,Mar,5-7,,Populus,TT,34.0,3.0,36.0,0.0,22.0,-3.0,-2.0,3.0,,,,,,,,,,,,,,,,,,,
,Mar,10-11,16,ICM,GU,35.0,1.0,37.0,1.0,21.0,0.0,-2.0,0.0,,,,,,,,,,,,,,,,,,,
,Mar,11-16,19,MORI,,35.0,0.0,35.0,-1.0,23.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
,Mar,23-25,29,YouGov,DT,39.0,0.0,34.0,0.0,20.0,-1.0,5.0,0.0,,,,,,,,,,,,,,,,,,,
,Apr,,4,YouGov,MoS,38.0,-1.0,35.0,1.0,20.0,0.0,3.0,-2.0,,,,,,,,,,,,,,,,,,,
,Apr,2-4,6,Populus,TT,34.0,0.0,34.0,-2.0,22.0,0.0,0.0,2.0,,,,,,,,,,4.90,,,5.02,,,4.87,,,
,Apr,15-19,22,MORI,,34.0,-1.0,36.0,1.0,22.0,-1.0,-2.0,-2.0,,,,,,,,,,,,,,,,,,,
,Apr,16-18,20,ICM,GU,33.0,-2.0,38.0,1.0,22.0,1.0,-5.0,-3.0,,,,,,,,,,,,,,,,,,,
,Apr,27-29,4,YouGov,DT,39.0,1.0,35.0,0.0,19.0,-1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,
,May,6-8,9,YouGov,MoS,40.0,1.0,36.0,1.0,18.0,-1.0,4.0,0.0,,,,,,,Howard,57.0,29.0,28.0,38.0,60.0,-22.0,49.0,35.0,14.0,Do you think (name) is doing well or badly as (position)?,,
,May,7-9,11,Populus,TT,36.0,2.0,32.0,-2.0,22.0,0.0,4.0,4.0,,,,,,,,,,,,,,,,,,,
,May,13-15,16,YouGov,ST,37.0,-3.0,34.0,-2.0,20.0,2.0,3.0,-1.0,,,,,,,,,,,,,,,,,,,
,May,20-21,24,YouGov,DT,36.0,-1.0,33.0,-1.0,19.0,-1.0,3.0,0.0,,,,,,,,,,,,,,,,,,,
,May,20-23,26,ICM,GU,33.0,0.0,37.0,-1.0,21.0,-1.0,-4.0,1.0,,,,,,,,,,,,,,,,,,,
,May,25-27,29,YouGov,DT,34.0,-2.0,33.0,0.0,21.0,2.0,1.0,-2.0,,,,,,,,,,,,,,,,,,,
,May,27-1,5,MORI,FT,34.0,0.0,35.0,-1.0,18.0,-4.0,-1.0,1.0,,,,,,,,,,,,,,,,,,,
,Jun,2-4,6,YouGov,DT,35.0,1.0,35.0,2.0,17.0,-4.0,0.0,-1.0,,,,,,,,,,,,,,,,,,,
,Jun,4-6,8,Populus,TT,29.0,-7.0,31.0,-1.0,22.0,0.0,-2.0,-6.0,,,,,,,,,,,,,,,,,,,
,Jun,8-10?,10,YouGov,MoS?,36.0,1.0,32.0,-3.0,18.0,1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,
,Jun,11-13,15,ICM,GU,31.0,-2.0,34.0,-3.0,22.0,1.0,-3.0,1.0,,,,,,,,,,,,,,,,,,,
,Jun,18-20,,MORI,,29.0,-5.0,29.0,-6.0,23.0,5.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
,Jun,22-24,,YouGov,DT,34.0,-2.0,33.0,1.0,21.0,3.0,1.0,-3.0,,,,,,,,,,,,,,,,,,,
,Jun,24-29,2,MORI,,31.0,2.0,34.0,5.0,19.0,-4.0,-3.0,-3.0,,,,,,,,,,,,,,,,,,,
,Jul,2-4,6,Populus,TT,29.0,0.0,33.0,2.0,24.0,2.0,-4.0,-2.0,,,,,,,,,,,,,,,,,,,
,Jul,8-10,,YouGov,,,,,,,,,,,"No party figures published, but leader ratings on YouGov website",,,,,,45.0,41.0,4.0,40.0,57.0,-17.0,49.0,36.0,13.0,Do you think (name) is doing well or badly as (position)?,,
,Jul,16,18,NOP,SE,26.0,,37.0,,24.0,,-13.0,,,,,,,,,,,,,,,,,,,,
,Jul,16-17,18,YouGov,ST,33.0,-1.0,33.0,0.0,22.0,1.0,0.0,-1.0,,,,,,,,,,,,,,,,,,,
,Jul,16-18,20,ICM,GU,30.0,-1.0,35.0,1.0,25.0,3.0,-5.0,-2.0,,,,,,,,,,,,,,,,,,,
,Jul,21-23,25,Populus,NoW,28.0,-1.0,30.0,-3.0,28.0,4.0,-2.0,2.0,,,,,,,,,,,,,,,,,,,
,Jul,22-27,1,MORI,IoS,31.0,0.0,32.0,-2.0,24.0,5.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,
,Jul,26-28,30,YouGov,DT,33.0,0.0,34.0,1.0,23.0,1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,
,Jul,30-1,3,Populus,TT,32.0,4.0,32.0,2.0,24.0,-4.0,0.0,2.0,,,,,,,,,,4.52,,,4.90,,,5.04,,,
,Aug,13-15,18,ICM,GU,33.0,3.0,36.0,1.0,22.0,-3.0,-3.0,2.0,,,,,,,,,,,,,,,,,,,
,Aug,12-16,20,MORI,FT,32.0,1.0,36.0,4.0,21.0,-3.0,-4.0,-3.0,,,,,,,,,,,,,,,,,,,
,Aug,24-26,27,YouGov,DT,34.0,1.0,34.0,0.0,21.0,-2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
